,name,phone,address,city,zip,syntec,old_id
125,SEYMOUR-POWELL ,,"1st Floor, 30 Park Street London",,,32,145
126,IFTH - REGION NORD ,03 20 19 74 22 ,2 Rue De La Recherche  ,VILLENEUVE,59650,32,146
127,B.V.A,01 71 16 88 00,52 Rue Marcel Dassault,Boulogne,92514,4,147
128,GMV,01 55 25 50 00,"25, Rue Titon",Paris,75011,32,148
129,L'OREAL,0147567485,Professional Tests Interniational Manager  ,,,32,150
130,UNILEVER DEUTSCHLAND GMBH ,+49 40 3493 4552 ,Strandkai 1 | 20457 Hamburg | GERMANY,,,32,151
131,FIRMENICH S.A.,,Route Des Jeunes 1,-,CH,32,152
132,GREY PARIS,0144091515,92 Avenue Des Ternes,PARIS,75017,32,153
133,RECKITT BENCKISER,0044 (0)175 344 6542,,Bath,103-105,32,154
134,LISTENING PHARMA,01 49 11 64 64,22-23 Quai Du Président Carnot,Saint,92212,32,155
135,ANALYSES ET STRATEGIES,01 43 45 80 21,33 Avenue Philippe Auguste,Paris,75011,32,156
136,ANCV DIRECTION DE LA COMMUNICATION ,01 34 29 51 00,36 BD Henri Bergson 95201 Sarcelles Cedex,,,32,157
137,100 % SATISFACTION  ,,nan,,,32,158
138,JOHNSON&JOHNSON,01 55 00 4800,1 Rue Camille Desmoulins,50008,TSA,32,159
139,EQUAL - ADVANCED RESEARCH FOR INNOVATION,+ 33.01.55.33.12.96,30 Boulevard Haussmann - 75009 Paris,,,9,160
140,GALDERMA,,nan,,,32,161
141,SPRING VOICE,+33 (0)6 15 22 79 20,75 Rue St Honoré 77300 FONTAINEBLEAU,,,32,162
142,LABORATOIRE SPINCONTROL,,nan,,,32,163
143,SAINT GOBAIN ISOVER,03 44 27 00 57,"19,Rue Emile Zola",RANTIGNY,60290Â,32,165
144,CABINET HERZOG ,01 42 55 58 87,44 Rue Lamarck ,Paris,75018,12,166
145,PHARMTUDES,01 43 12 31 52,15 Rue Roquépine,Paris,75008,32,167
146,LINDT,01 58 62 36 46,5 Bd De La Madeleine,Paris,75001,32,168
147,TAKARA JAPON,,nan,,,32,169
148,MULTIVARIA -ESTUDOS DE MERCADO LDA,00 51 21 882 34 80,Rua Das Pedras Negras 61-4° 1100-402,,,32,170
149,SOFTSHEEN-CARSON PROFESSIONEL,0147563532,44 Rue Du Four ,PARIS,75006,32,171
150,AUDIREP,01 70 19 23 07,132 Rue De Billancourt 92100 Boulogne,,,2,174
151,QUALI CONSEIL,01 46 56 97 55,81 Rue Perier,Montrouge,92120,32,172
152,CHANEL SAS,,135 Avenue Charles De Gaulle,Sur,Neuilly,32,175
153,EN ATTENTE,,nan,,,32,176
154,CATALIZ RESEARCH,0147704422,nan,,,32,177
155,BPCE,+33 (0)1 58 40 75 58,50 Avenue Pierre Mendès France 75201 Paris Cedex 13,,,32,178
156,CHANEL ,,8 Rue Du Cheval Blanc 93500 PANTIN,,,32,179
157,ACLYS,01 30 27 22 55,Immeuble Les 3 Fontaines - Hall A Bis - Boîte 1037,Cergy,95003,32,180
158,CARAT FRANCE SAS,0141161718,4 Place Saverne,COURBEVOIE,92400,32,181
159,SEYMOURPOWELL,+44 (0) 2073816433,"327 Lillie Road, London, SW6 7NR United Kingdom",,,32,182
160,GENERALI FRANCE,01 58 38 63 79,Direction Internet,Rue,2-8,32,183
161,FRANCELYNE LEGRAND TRAILOV ,01 47 59 03 02,RESIDENCE ST EXUPRY,AVENUE,27,32,186
162,MEDIASCOPIE,01 45 30 60 54,5 Rue Nicolas Flamel ,Paris,75004,32,185
163,OPINEA,01 45 53 99 84 ,TOUR CIT,Rue,3,32,187
164,TOUTE L'EUROPE,33 (0)1 53 85 44 12,"8, Rue De Choiseul - 75002 Paris",,,32,188
165,CROWD DNA,+44 (0) 207 739 2997,"Unit 603, The Tea Building",Shoredtich,"56,",32,189
166,GO MARKETING,0130849828,25 Rue Du Maréchal Foch,Versailles,78000,32,190
167,FLORENTAISE,02 40 77 44 44,LE GRAND PATIS,ST,44850,32,191
168,PRESENCES ET MARKETING,01 44 86 02 80,43 Rue De Richelieu,Paris,75001,32,192
169,IRIS,01 47 32 81 16,nan,,,32,193
170,IFOP ,0145841444,Immeuble Le Millénaire 2,Rue,35,32,194
171,MOVING PUPPET,01 80 88 66 66,49 Route Principale Du Port - Bat G2 Hall 6 - 93230 Gennevilliers - France.,,,32,195
172,RESEARCH EXPERTS,,nan,,,32,196
173,KRAFT FOODS,,"13, Avenue Morane Saulnier",942,78,32,197
174,CNFIELDWORK,+ 33(0)1 46 74 62 01,18 Rue De Chatenay ,160,92,32,198
175,NOELLA VINCENT,,32 Rue Jules Ferry,,,32,199
176,UNILEVER UK 2,44 (0) 113 2225563,"Coal Road,",,,32,200
177,BRAND ADVOCATE,01 41 86 07 57,30 Rue Louis Pasteur,Boulogne,92100,32,201
178,REPERES QUALI,01 44 29 60 00,20 Rue Bouvier 75011 Paris,,,32,202
179,VM - VISIONARY & INSIGHTFUL MARKETING SOLUTIONS,01 40 35 50 86,16 Rue Marx Dormoy,,,32,203
180,LB QUALITATIVE RESEARCH,09.54.62.41.75,52 Rue De La Bidassoa,C,BÃ¢timent,32,204
181,POSTERSCOPE CONTACT,01 41 16 68 67,4 Place Saverne 92400 COURBEVOIE,,,32,205
182,STRATEGIR ,,5 Rue Jules Vallès 75011 Paris,,,0,303
183,LOVE BRANDS,06 67 20 31 78,14 A Rue Notre Dame De Nazareth 75003 Paris ,,,32,207
184,YOUNG & RUBICAM FRANCE,01 46 84 33 33,57 Avenue MORIZET,73,BP,32,208
185,CARAT EXPERT,0141161718,4 Place Saverne 92400 COURBEVOIE,,,32,209
186,DéDALE S.A.S.,+33 (0) 1 58 39 31 45,15 Place De La Nation,PARIS,75011,32,210
187,UNITED BISCUITS,0147785846,nan,,,32,211
188,PERSPECTIVE RESEARCH SERVICES,020 7490 9151,nan,,,32,212
189,INNOVATION ATELIER SA,+41 76 ,Rue De Grenus 12,Genève,1201,32,214
190,CYBLE MARKETING,+33 1 43 38 89 24,10 Rue De Nancy,Paris,75010,47,215
191,ZUTT + PARTNER EMO CONSULTING,+41 55 253 11 11,Schachentrasse 19,Wolfhausen,CH-8633,32,216
192,KUSMI,,nan,,,32,217
193,MICROSOFT EMEA,,"39, Quai Du Président Roosevelt",Issy-les-Moulineaux,92130,32,218
194,MT3D,+33 (0)369 850 024,Rue D'Alsace - BP 40,ROUFFACH,68250,32,219
195,IPSOS BELGIUM,0032 2 642 49 91,"Drève Richelle, 161 Building J",,,32,220
196,HOTEL VERNET,01 44 31 98 00,25 Rue Vernet,Paris,75008,32,221
197,CHANEL PARFUM BEAUTé,0143935029,8 Rue Du Cheval Blanc ,PANTIN,93500,32,222
198,AVATARS,0615383289,53 Rue Des Cascades,Paris,75020,32,223
199,M3 GLOBAL RESEARCH,44 208 741 6200,Galena House ,Galena,8-30,32,224
200,BIOFORTIS SAS,01 69 53 43 02,2 Impasse De La Noisette,VERRIRES,91374,32,225
201,CENTRE DE SANT SABOURAUD,01 42 49 39 37,Hôpital Saint Louis,Avenue,1,32,226
202,VINCENT BESSE,0699180441,129 Rue Léon Barbier,CHATOU,78400,32,227
203,EDF - R&D - ICAME, 01.47.65.58.83,1 Avenue Du Général De Gaulle,Clamart,92141,32,228
204,GEMALTO,01 55 01 50 00,6 Avenue De La Verrerie,MEUDON,92197,32,229
205,LABORATOIRE COSMEPAR,02 40 68 50 50,"2, Rue Alessandro Volta",80770,BP,32,230
206,TANGENCIELS, 01 48 07 14 14    ,167 Rue Saint Jacques,Paris,75005,32,231
207,LA MUTUELLE GENERALE,,"79, Avenue De Fontainebleau ",291,94,32,232
208,MJAM,,nan,,,32,233
209,GRAPHIC IDENTITE,0251849370,1 Rue Eugène Varlin,88634,BP,32,234
210,SABENA QUALITATIVE RESEARCH,+ (203) 292-9680,119 Field Point Drive,CT,"Fairfield,",32,235
211,PROCTER & GAMBLE FRANCE SAS,0140885074,163 Quai Aulagnier 92600 Asnières Sur Seine,,,32,236
212,SGS,,3 Et 5 Rue Eugène Millon,,,32,237
213,L'OREAL: SALLE TEST FRANCE ,0140206381,nan,,,32,238
214,NICOLE BLOT,02 40 69 50 98,"36, Rue M.A Du Boccage",Nantes,44000,32,239
215,ERANOS ,,"30, Rue Belgrand",Paris,75020,32,240
216,P&G,06 79 84 15 22,nan,,,32,241
217,BENETTON,,"Benetton , 16 Rue Auber (6° étage), 75009 Paris",Havre,MÂ°,32,243
218,RHEINGOLD SALON,49 221 912777-944,"Hohe Strae 160 - 168, 50667 Köln, Deutschland ",,,0,264
219,STALLERGENES,,6 Rue Alexis De Tocqueville,ANTONY,92183,0,266
220,COUSLON, 06 80 47 60 10,26 Rue Boursault,Paris,"75017,",0,252
221,PERITESCO,04 67 58 41 25,4 Rue Villédo 75001 PARIS ,Pyramides,MÃ©tro:,0,253
222,UN BUREAU SUR LA LUNE - AGENCE KI,,10 Avenue Trudaine,Paris,75009,0,286
223,GFK SWITZERLAND AG ,+41 41 632 93 24 ,Obermattweg 9 ,Hergiswil,CH-6052,0,244
224,GARNIER RUE TOUZET,,11 Rue Touzet ,ST,93400,0,245
225,PANZANI GROUPE,04 72 82 23 01,4 Rue Boileau,Lyon,69006,0,247
226,BVA CENTRE  IN VIVO ,01 71 16 90 62,4-6 BD Montmartre 75009 Paris,,,0,248
227,BOCAL ETUDES,33 (0)4 91 94 28 09,"310, Rue Paradis - 13008 Marseille",,,0,249
228,ABC+,0144548782,160 Rue Du Temple 75003 Paris,,,0,250
229,UNILEVER DEUTSCHLAND GMBH FINANCIAL SHARED SERVICES,,Postfach 602825,Hamburg,22238,0,251
230,EDELMAN BERLAND,0156697527,"35, Boulevard Malesherbes",Paris,75008,0,254
231,EN QUêTE DE SOLUTIONS,,37 Avenue Le Corbeiller 92190 Meudon,,,0,255
232,UNILEVER UK 3,,2 North Leatherhead Office,KINGDOM,UNITER,0,257
233,LORIEN CONSULTING,+39 342 5204456,,F.,Via,0,258
234,INSTITUT DES MAMANS ,TÃ©l. : +33(1)41 46 83 82,10 Bd Des Frères Voisins,Issy,92130,0,259
235,QUEMENEUR MORGANE,0672794204,43 Rue Cambon,PARIS,75001,0,260
236,MARIE-CLAIRE RENARD,0641700217,nan,,,0,261
237,MCD CONSULTING,6 75 65 91 85,"3 Rue Larribe, 75008 Paris, France",,,0,262
238,CLARINS,01.34.35.15.40,Service Evaluation,CLARINS,Laboratoires,0,263
239,EUROPA NOVA,1 43 42 40 90,18/20 Place De La Madeleine,Paris,75008,0,265
240,NIELSEN KOREA,82 2 21227374,Korea,,,0,267
241,SAINT HUBERT,94150 Rungis,3-15 Rue Du Pont Des Halles,,,0,268
242,SKY CONSULTING ,01 45 26 03 26,6 Bis Rue Richard Lenoir ,Paris,75011,0,269
243,GRET,0170919247,45 Bis Avenue De La Belle Gabrielle,Nogent,94736,0,270
244,YUSEO USER SPECIALIST ,01 40 33 30 01,6 Bd Saint Denis ,Paris,75010,0,271
245,AFFORDANCE,0622433222,20 Rue De La Fontaine Du But,Paris,75018,0,272
246,DEPARTEMENT3DFI/EPN BERGERIE NATIONALE,01 34 83 07 54,Parc Du Château ,40609,CS,0,273
247,SERVICE OAP FRANCE , 01.58.61.89.16.,7 Rue Touzet,ST,93400,0,274
248,CHRISTIANGATARD&GO,0607740771,"23 Rue Fourcroy, 75017 Paris ",,,0,276
249,WATCHLAB,312.428.2560,"1 East Erie Street, Suite 600,",,,0,275
250,HILL+KNOWLTON STRATEGIES,,"88, Avenue Charles De Gaulle","Cedex,",Neuilly-sur-Seine,0,277
251,VIAVOICE,01 40 54 13 90,9 Rue Huysmans,Paris,75006,0,278
252,UNILEVER EUROPE BUSINESS CENTER BV,31 10 217 4447,PO Box 279,Aan,2400Alphen,0,279
253,LASCAD,,11 Rue Touzet 93400 ST OUEN ,,,0,280
254,THEMA,01 42 72 95 96,"5 Rue Auguste Comte, 75006 Paris ",,,0,281
255,HOTEL IBIC,,"Centre Gare, Le Forum 59000 LILLE",,,0,282
256,HOTEL CAMPANILE,,72 Rue Marius Aufan 92300 LEVALLOIS PERRET,,,0,283
257,UNILEVER CONSUMER & MARKET INSIGHT,+31 6 218 424 07,"Weena 455, 3013 AL Rotterdam",,,0,284
258,COGEM,04 73 14 66 42,18 Avenue De LAgriculture,,,0,285
259,BIO EC,,Longjumeau,,,0,288
260,LA FOURCHETTE,,nan,,,0,289
261,L OREAL PARIS ANNA CLICHY,,41 RUE MARTRE ,CLICHY,92100,0,291
262,CLARA FREJAVILLE,,41 Rue Martre ,Clichy,92100,0,292
263,CERCO,,nan,,,0,293
264,VERONIQUE GABORIAU,,nan,,,0,294
265,INTERTEK,,"48, Rue De La Colonie - 75013 Paris - France",,,0,295
266,WSA,,Rue Jules Vallès 75011 PARIS,,,0,298
267,PATRICE DUCHEMIN,,nan,,,0,299
268,L OREAL STI,,13 Rue Léon Jamin,LEVALLOIS,92300,0,300
269,TECHNI SENS,,nan,,,0,301
270,SO BANG,,nan,,,0,302
271,VINTED,,nan,,,0,304
